"date","category","value"
"2015","Robert Sands",629858
"2015","Richard Sands",595964
"2015","Thomas Mullin",0
"2015","Total",1225822
"2014","Robert Sands",625431
"2014","Richard Sands",409688
"2014","Thomas Mullin",0
"2014","Total",1035119
"2013","Robert Sands",203197
"2013","Richard Sands",446304
"2013","Thomas Mullin",0
"2013","Total",649501
"2012","Robert Sands",333718
"2012","Richard Sands",441551
"2012","Thomas Mullin",0
"2012","Total",775269
"2011","Robert Sands",178251
"2011","Richard Sands",426990
"2011","Thomas Mullin",0
"2011","Total",605241
"2010","Robert Sands",126187
"2010","Richard Sands",254228
"2010","Thomas Mullin",10401
"2010","Total",390816
"2009","Robert Sands",181755
"2009","Richard Sands",488192
"2009","Thomas Mullin",0
"2009","Total",669947
"2008","Robert Sands",123002
"2008","Richard Sands",296256
"2008","Thomas Mullin",0
"2008","Total",419258
"2007","Robert Sands",217041
"2007","Richard Sands",247812
"2007","Thomas Mullin",0
"2007","Total",464853
"2006","Robert Sands",135047
"2006","Richard Sands",152509
"2006","Thomas Mullin",0
"2006","Total",287556
"2005","Robert Sands",105564
"2005","Richard Sands",114324
"2005","Thomas Mullin",0
"2005","Total",219888
